Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D24,LED_G,LED_0805_2012Metric,167.22,-19.758,90,top
D24,LED_G,LED_0805_2012Metric,68.72,-19.758,90,top
D25,LED,LED_0805_2012Metric,279.5,-160.964,0,top
D25,LED,LED_0805_2012Metric,181,-160.964,0,top
D25,LED,LED_0805_2012Metric,82.5,-208.964,0,top
D25,LED,LED_0805_2012Metric,181,-208.964,0,top
D25,LED,LED_0805_2012Metric,279.5,-208.964,0,top
D25,LED,LED_0805_2012Metric,82.5,-16.964,0,top
D25,LED,LED_0805_2012Metric,181,-16.964,0,top
D25,LED,LED_0805_2012Metric,279.5,-16.964,0,top
D25,LED,LED_0805_2012Metric,279.5,-64.964,0,top
D25,LED,LED_0805_2012Metric,82.5,-64.964,0,top
D25,LED,LED_0805_2012Metric,181,-64.964,0,top
D25,LED,LED_0805_2012Metric,82.5,-112.964,0,top
D25,LED,LED_0805_2012Metric,181,-112.964,0,top
D25,LED,LED_0805_2012Metric,279.5,-112.964,0,top
D25,LED,LED_0805_2012Metric,82.5,-160.964,0,top
D26,LED,LED_0805_2012Metric,177.126,-20.774,90,top
D26,LED,LED_0805_2012Metric,275.626,-20.774,90,top
D26,LED,LED_0805_2012Metric,78.626,-68.774,90,top
D26,LED,LED_0805_2012Metric,177.126,-68.774,90,top
D26,LED,LED_0805_2012Metric,275.626,-68.774,90,top
D26,LED,LED_0805_2012Metric,78.626,-116.774,90,top
D26,LED,LED_0805_2012Metric,177.126,-116.774,90,top
D26,LED,LED_0805_2012Metric,275.626,-116.774,90,top
D26,LED,LED_0805_2012Metric,78.626,-164.774,90,top
D26,LED,LED_0805_2012Metric,177.126,-164.774,90,top
D26,LED,LED_0805_2012Metric,275.626,-164.774,90,top
D26,LED,LED_0805_2012Metric,78.626,-212.774,90,top
D26,LED,LED_0805_2012Metric,177.126,-212.774,90,top
D26,LED,LED_0805_2012Metric,275.626,-212.774,90,top
D26,LED,LED_0805_2012Metric,78.626,-20.774,90,top
D27,LED,LED_0805_2012Metric,181.444,-216.076,0,top
D27,LED,LED_0805_2012Metric,279.944,-216.076,0,top
D27,LED,LED_0805_2012Metric,82.944,-216.076,0,top
D27,LED,LED_0805_2012Metric,279.944,-168.076,0,top
D27,LED,LED_0805_2012Metric,181.444,-168.076,0,top
D27,LED,LED_0805_2012Metric,82.944,-168.076,0,top
D27,LED,LED_0805_2012Metric,279.944,-120.076,0,top
D27,LED,LED_0805_2012Metric,181.444,-120.076,0,top
D27,LED,LED_0805_2012Metric,279.944,-72.076,0,top
D27,LED,LED_0805_2012Metric,181.444,-72.076,0,top
D27,LED,LED_0805_2012Metric,82.944,-72.076,0,top
D27,LED,LED_0805_2012Metric,279.944,-24.076,0,top
D27,LED,LED_0805_2012Metric,181.444,-24.076,0,top
D27,LED,LED_0805_2012Metric,82.944,-24.076,0,top
D27,LED,LED_0805_2012Metric,82.944,-120.076,0,top
D28,LED,LED_0805_2012Metric,283.5,-219.378,90,top
D28,LED,LED_0805_2012Metric,185,-219.378,90,top
D28,LED,LED_0805_2012Metric,86.5,-219.378,90,top
D28,LED,LED_0805_2012Metric,283.5,-171.378,90,top
D28,LED,LED_0805_2012Metric,185,-171.378,90,top
D28,LED,LED_0805_2012Metric,86.5,-171.378,90,top
D28,LED,LED_0805_2012Metric,283.5,-123.378,90,top
D28,LED,LED_0805_2012Metric,185,-123.378,90,top
D28,LED,LED_0805_2012Metric,86.5,-123.378,90,top
D28,LED,LED_0805_2012Metric,283.5,-75.378,90,top
D28,LED,LED_0805_2012Metric,185,-75.378,90,top
D28,LED,LED_0805_2012Metric,86.5,-75.378,90,top
D28,LED,LED_0805_2012Metric,283.5,-27.378,90,top
D28,LED,LED_0805_2012Metric,185,-27.378,90,top
D28,LED,LED_0805_2012Metric,86.5,-27.378,90,top
D29,LED,LED_0805_2012Metric,279.5,-127.188,0,top
D29,LED,LED_0805_2012Metric,279.5,-223.188,0,top
D29,LED,LED_0805_2012Metric,181,-223.188,0,top
D29,LED,LED_0805_2012Metric,82.5,-223.188,0,top
D29,LED,LED_0805_2012Metric,279.5,-175.188,0,top
D29,LED,LED_0805_2012Metric,181,-175.188,0,top
D29,LED,LED_0805_2012Metric,82.5,-175.188,0,top
D29,LED,LED_0805_2012Metric,181,-127.188,0,top
D29,LED,LED_0805_2012Metric,82.5,-127.188,0,top
D29,LED,LED_0805_2012Metric,279.5,-79.188,0,top
D29,LED,LED_0805_2012Metric,181,-79.188,0,top
D29,LED,LED_0805_2012Metric,82.5,-79.188,0,top
D29,LED,LED_0805_2012Metric,279.5,-31.188,0,top
D29,LED,LED_0805_2012Metric,181,-31.188,0,top
D29,LED,LED_0805_2012Metric,82.5,-31.188,0,top
L1,L,L_1008_2520Metric,163.664,-215.06,90,top
L1,L,L_1008_2520Metric,262.164,-215.06,90,top
L1,L,L_1008_2520Metric,65.164,-23.06,90,top
